Linux 6.11.8-200.fc40.x86_64 (PAPATRAC) 	12/01/2024 	_x86_64_	(16 CPU)

12:00:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:24 AM     all      0.18      0.00      0.58      0.01      0.00     99.22
12:20:48 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
12:30:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.24
12:40:24 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
12:50:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
01:00:48 AM     all      0.17      0.00      0.56      0.01      0.00     99.26
01:10:24 AM     all      0.17      0.00      0.58      0.01      0.00     99.24
01:20:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.26
01:30:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
01:40:24 AM     all      0.17      0.00      0.55      0.01      0.00     99.27
01:50:47 AM     all      0.17      0.00      0.58      0.01      0.00     99.24
02:00:48 AM     all      0.17      0.00      0.58      0.01      0.00     99.23
02:10:24 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
02:20:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
02:30:47 AM     all      0.17      0.00      0.55      0.01      0.00     99.26
02:40:24 AM     all      0.17      0.00      0.58      0.01      0.00     99.23
02:50:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.26
03:00:47 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
03:10:24 AM     all      0.18      0.00      0.55      0.01      0.00     99.26
03:20:48 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
03:30:47 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
03:40:24 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
03:50:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.26
04:00:47 AM     all      0.18      0.00      0.56      0.01      0.00     99.26
04:10:24 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
04:20:47 AM     all      0.18      0.04      0.58      0.02      0.00     99.19
04:30:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
04:40:24 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
04:50:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
05:00:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
05:10:24 AM     all      0.18      0.00      0.58      0.01      0.00     99.23
05:20:48 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
05:30:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
05:40:24 AM     all      0.17      0.00      0.55      0.01      0.00     99.27
05:50:48 AM     all      0.17      0.00      0.56      0.01      0.00     99.26
06:00:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
06:10:24 AM     all      0.30      0.00      0.58      0.02      0.00     99.09
06:20:48 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
06:30:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
06:40:24 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
06:50:47 AM     all      0.18      0.00      0.58      0.01      0.00     99.23
07:00:47 AM     all      0.17      0.00      0.58      0.01      0.00     99.23
07:10:24 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
07:20:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
07:30:47 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
07:40:24 AM     all      0.17      0.00      0.56      0.01      0.00     99.25
07:50:05 AM     all      0.18      0.01      0.57      0.01      0.00     99.23
08:00:47 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
08:10:24 AM     all      0.17      0.00      0.57      0.01      0.00     99.24
08:20:48 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
08:30:47 AM     all      0.18      0.00      0.55      0.01      0.00     99.26
08:40:24 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
08:50:47 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
09:00:47 AM     all      0.18      0.00      0.57      0.01      0.00     99.25
09:10:24 AM     all      0.18      0.00      0.55      0.01      0.00     99.27
09:20:47 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
09:30:47 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
09:40:24 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
09:50:47 AM     all      0.17      0.00      0.56      0.01      0.00     99.26
10:00:48 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
10:10:24 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
10:20:47 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
10:30:47 AM     all      0.18      0.00      0.58      0.01      0.00     99.24
10:40:24 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
10:50:48 AM     all      0.18      0.00      0.57      0.01      0.00     99.24
11:00:48 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
11:10:24 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
11:20:48 AM     all      0.17      0.00      0.57      0.01      0.00     99.25
11:30:47 AM     all      0.17      0.00      0.55      0.01      0.00     99.26
11:40:24 AM     all      0.17      0.00      0.55      0.01      0.00     99.26
11:50:47 AM     all      0.18      0.00      0.56      0.01      0.00     99.25
12:00:47 PM     all      0.18      0.00      0.56      0.01      0.00     99.25
12:10:08 PM     all      2.36      0.00      3.43      0.07      0.00     94.14
12:20:40 PM     all      0.82      0.01      2.48      0.03      0.00     96.66
12:30:02 PM     all      1.40      0.00      2.24      0.04      0.00     96.32
Average:        all      0.23      0.00      0.65      0.01      0.00     99.11
