Linux 6.11.8-200.fc40.x86_64 (PAPATRAC) 	12/09/2024 	_x86_64_	(16 CPU)

11:08:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:08:45 AM     all      0.19      0.00      0.56      0.06      0.00     99.19
11:08:46 AM     all      0.38      0.00      0.63      0.00      0.00     99.00
11:08:47 AM     all      0.50      0.00      1.94      0.00      0.00     97.56
11:08:48 AM     all      3.53      0.00      3.59      0.06      0.00     92.81
11:08:49 AM     all      2.45      0.00      2.83      0.00      0.00     94.72
11:08:50 AM     all      0.95      0.00      1.95      0.50      0.00     96.60
11:08:51 AM     all      0.50      0.00      1.38      0.06      0.00     98.05
11:08:52 AM     all      1.15      0.00      7.53      0.00      0.00     91.33
11:08:53 AM     all      1.40      0.00      4.06      0.13      0.00     94.42
11:08:54 AM     all      2.42      0.00      4.51      0.00      0.00     93.07
11:08:55 AM     all      0.38      0.00      1.69      0.06      0.00     97.87
11:08:56 AM     all      0.44      0.00      1.44      0.00      0.00     98.12
11:08:57 AM     all      0.38      0.00      0.75      0.00      0.00     98.87
11:08:58 AM     all      0.12      0.00      0.62      0.00      0.00     99.25
11:08:59 AM     all      0.06      0.00      0.19      0.00      0.00     99.75
11:09:00 AM     all      0.00      0.00      0.31      0.00      0.00     99.69
11:09:01 AM     all      4.51      0.00     10.21      0.06      0.00     85.22
11:09:02 AM     all     10.95      0.00     22.47      0.06      0.00     66.52
11:09:03 AM     all      0.13      0.00      0.06      0.00      0.00     99.81
11:09:04 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
11:09:05 AM     all      0.19      0.00      0.06      0.00      0.00     99.75
11:09:06 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
11:09:07 AM     all      0.06      0.00      0.25      0.06      0.00     99.63
11:09:08 AM     all      0.00      0.00      0.31      0.00      0.00     99.69
11:09:09 AM     all      0.00      0.00      0.19      0.06      0.00     99.75
11:09:10 AM     all      0.00      0.00      0.63      0.00      0.00     99.37
11:09:11 AM     all      0.06      0.00      0.25      0.00      0.00     99.69
11:09:12 AM     all      0.06      0.00      0.13      0.00      0.00     99.81
11:09:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:09:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:09:15 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:09:16 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:09:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
