11:28:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:28:39 AM     all      0.50      0.00      0.50      0.00      0.00     99.00
11:28:40 AM     all      0.63      0.00      0.57      0.00      0.00     98.81
11:28:41 AM     all      0.25      0.00      0.56      0.00      0.00     99.19
11:28:42 AM     all     15.37      0.00     33.08      0.00      0.00     51.55
11:28:43 AM     all      0.44      0.00      0.56      0.00      0.00     99.00
11:28:44 AM     all      0.06      0.00      0.06      0.00      0.00     99.87
11:28:45 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:28:46 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:28:47 AM     all      0.06      0.00      0.44      0.06      0.00     99.44
11:28:48 AM     all      0.13      0.00      0.38      0.00      0.00     99.50
11:28:49 AM     all      0.25      0.00      0.19      0.00      0.00     99.56
11:28:50 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:28:51 AM     all      0.06      0.00      0.25      0.00      0.00     99.69
11:28:52 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
11:28:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:56 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:28:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:28:59 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:29:00 AM     all      0.06      0.00      0.19      0.00      0.00     99.75
11:29:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:02 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:04 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:29:05 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:06 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:29:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:08 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:10 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:29:11 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:13 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:29:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:17 AM     all      0.00      0.00      0.00      0.12      0.00     99.88
11:29:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:20 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:29:21 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:29:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:23 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:24 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:25 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:29:26 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:27 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:29 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:30 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:34 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:35 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:29:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:37 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:29:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:39 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:29:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:42 AM     all      0.06      0.00      0.31      0.00      0.00     99.63
11:29:43 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:47 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:29:48 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:29:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:52 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:29:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:54 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:29:56 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:57 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:29:58 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:29:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:00 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:30:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:04 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:05 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:10 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:30:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:12 AM     all      0.06      0.00      0.00      0.12      0.00     99.81
11:30:13 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:14 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:30:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:16 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:17 AM     all      0.00      0.00      0.12      0.31      0.00     99.56
11:30:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:19 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:30:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:21 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:24 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:30:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:26 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:30:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:29 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:33 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:30:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:36 AM     all      0.00      0.00      0.31      0.00      0.00     99.69
11:30:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:30:39 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:40 AM     all      0.06      0.00      0.06      0.00      0.00     99.87
11:30:41 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:30:42 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:30:43 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
