07:08:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:08:29 PM     all      0.62      0.00      0.56      0.00      0.00     98.81
07:08:30 PM     all      2.64      0.00      0.13      0.00      0.00     97.24
07:08:31 PM     all      1.06      0.00      0.00      0.00      0.00     98.94
07:08:32 PM     all      0.12      0.00      0.87      0.00      0.00     99.00
07:08:33 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:08:34 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
07:08:35 PM     all     17.26      0.00     22.00      0.00      0.00     60.75
07:08:36 PM     all      2.07      0.00      3.51      0.00      0.00     94.43
07:08:37 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
07:08:38 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
07:08:39 PM     all      0.13      0.00      0.31      0.00      0.00     99.56
07:08:40 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:08:41 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
07:08:42 PM     all      0.19      0.00      0.06      0.00      0.00     99.75
07:08:43 PM     all      0.12      0.00      0.50      0.06      0.00     99.31
07:08:44 PM     all      0.44      0.00      0.00      0.00      0.00     99.56
07:08:45 PM     all      0.06      0.00      0.37      0.00      0.00     99.56
07:08:46 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
07:08:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:08:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:00 PM     all      0.06      0.00      0.37      0.00      0.00     99.56
07:09:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:03 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
07:09:04 PM     all      0.00      0.00      0.06      0.06      0.00     99.88
07:09:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:10 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
07:09:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:14 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
07:09:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:25 PM     all      0.19      0.00      0.00      0.00      0.00     99.81
07:09:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
