Time,AM or PM,CPU,%user,%nice,%system,%iowait,%steal,%idle
11:44:53,AM,all,0.25,0,0.5,0.06,0,99.19
11:44:54,AM,all,0.56,0,0.44,0,0,99
11:44:55,AM,all,0.62,0,0.56,0,0,98.81
11:44:56,AM,all,0,0,0.19,0,0,99.81
11:44:57,AM,all,0.13,0,0.19,0,0,99.69
11:44:58,AM,all,0.06,0,0.19,0,0,99.75
11:44:59,AM,all,15.62,0,32.5,0,0,51.88
11:45:00,AM,all,32.1,0,67.84,0,0,0.06
11:45:01,AM,all,32.23,0,67.7,0,0,0.06
11:45:02,AM,all,32.33,0,67.67,0,0,0
11:45:03,AM,all,32.08,0,67.92,0,0,0
11:45:04,AM,all,31.99,0,68.01,0,0,0
11:45:05,AM,all,32.59,0,67.41,0,0,0
11:45:06,AM,all,32.92,0,67.08,0,0,0
11:45:07,AM,all,32.58,0,67.42,0,0,0
11:45:08,AM,all,32.54,0,67.46,0,0,0
11:45:09,AM,all,32.83,0,67.17,0,0,0
11:45:10,AM,all,32.56,0,67.37,0,0,0.06
11:45:11,AM,all,33.23,0,66.71,0,0,0.06
11:45:12,AM,all,31.56,0,68.44,0,0,0
11:45:13,AM,all,32.44,0,67.5,0,0,0.06
11:45:14,AM,all,32.09,0,67.91,0,0,0
11:45:15,AM,all,32.94,0,67.06,0,0,0
11:45:16,AM,all,32.77,0,67.23,0,0,0
11:45:17,AM,all,32.17,0,67.83,0,0,0
11:45:18,AM,all,32.17,0,67.83,0,0,0
11:45:19,AM,all,32.23,0,67.77,0,0,0
11:45:20,AM,all,32.77,0,67.23,0,0,0
11:45:21,AM,all,31.67,0,68.33,0,0,0
11:45:22,AM,all,32.73,0,67.27,0,0,0
11:45:23,AM,all,32.17,0,67.83,0,0,0
11:45:24,AM,all,32.19,0,67.81,0,0,0
11:45:25,AM,all,31.56,0,68.38,0,0,0.06
11:45:26,AM,all,32.08,0,67.92,0,0,0
11:45:27,AM,all,32.5,0,67.44,0,0,0.06
11:45:28,AM,all,32.98,0,67.02,0,0,0
11:45:29,AM,all,32.54,0,67.46,0,0,0
11:45:30,AM,all,32.08,0,67.73,0.06,0,0.12
11:45:31,AM,all,32.4,0,67.6,0,0,0
11:45:32,AM,all,32.71,0,67.29,0,0,0
11:45:33,AM,all,31.48,0,68.52,0,0,0
11:45:34,AM,all,32.79,0,67.21,0,0,0
11:45:35,AM,all,32.35,0,67.58,0,0,0.06
11:45:36,AM,all,32.5,0,67.5,0,0,0
11:45:37,AM,all,32.29,0,67.71,0,0,0
11:45:38,AM,all,32.06,0,67.94,0,0,0
11:45:39,AM,all,32.23,0,67.77,0,0,0
11:45:40,AM,all,32.31,0,67.69,0,0,0
11:45:41,AM,all,31.8,0,68.2,0,0,0
11:45:42,AM,all,32.77,0,67.23,0,0,0
11:45:43,AM,all,31.5,0,68.5,0,0,0
11:45:44,AM,all,32.21,0,67.79,0,0,0
11:45:45,AM,all,31.73,0,68.27,0,0,0
11:45:46,AM,all,32.08,0,67.92,0,0,0
11:45:47,AM,all,31.96,0,68.04,0,0,0
11:45:48,AM,all,32.29,0,67.71,0,0,0
11:45:49,AM,all,31.59,0,68.41,0,0,0
11:45:50,AM,all,32.12,0,67.88,0,0,0
11:45:51,AM,all,32.98,0,67.02,0,0,0
11:45:52,AM,all,32.29,0,67.71,0,0,0
11:45:53,AM,all,31.79,0,68.21,0,0,0
11:45:54,AM,all,32.83,0,67.1,0,0,0.06
11:45:55,AM,all,32.16,0,67.84,0,0,0
11:45:56,AM,all,32.13,0,67.31,0,0,0.56
11:45:57,AM,all,32.42,0,67.58,0,0,0
11:45:58,AM,all,32.27,0,67.67,0,0,0.06
11:45:59,AM,all,32.61,0,67.33,0,0,0.06
11:46:00,AM,all,32.27,0,67.73,0,0,0
11:46:01,AM,all,32.02,0,67.98,0,0,0
11:46:02,AM,all,31.87,0,68.07,0,0,0.06
11:46:03,AM,all,31.98,0,68.02,0,0,0
11:46:04,AM,all,31.79,0,68.15,0,0,0.06
11:46:05,AM,all,32.96,0,67.04,0,0,0
11:46:06,AM,all,32.83,0,67.17,0,0,0
11:46:07,AM,all,32.44,0,67.5,0,0,0.06
11:46:08,AM,all,31.71,0,68.29,0,0,0
11:46:09,AM,all,32.54,0,67.46,0,0,0
11:46:10,AM,all,32.79,0,67.21,0,0,0
11:46:11,AM,all,33.25,0,66.69,0,0,0.06
