Time,AM or PM,CPU,%user,%nice,%system,%iowait,%steal,%idle
10:49:21,AM,all,1.5,0,0.13,0,0,98.37
10:49:22,AM,all,4.86,0,0.68,0,0,94.46
10:49:23,AM,all,0.62,0,0,0,0,99.38
10:49:24,AM,all,0.19,0,0,0,0,99.81
10:49:25,AM,all,0,0,0.19,0,0,99.81
10:49:26,AM,all,32.73,0,51.72,0.06,0,15.49
10:49:27,AM,all,31.52,0,68.3,0,0,0.19
10:49:28,AM,all,16.42,0,82.9,0,0,0.69
10:49:29,AM,all,23.08,0,75.98,0,0,0.94
10:49:30,AM,all,22.86,0,76.33,0,0,0.81
10:49:31,AM,all,27.28,0,72.15,0,0,0.56
10:49:32,AM,all,29.38,0,69.56,0,0,1.06
10:49:33,AM,all,29.24,0,70.63,0,0,0.13
10:49:34,AM,all,31.79,0,68.08,0,0,0.12
10:49:35,AM,all,36.02,0,63.79,0,0,0.19
10:49:36,AM,all,26.16,0,73.28,0,0,0.56
10:49:37,AM,all,25.8,0,73.95,0,0,0.25
10:49:38,AM,all,22.35,0,76.33,0,0,1.31
10:49:39,AM,all,21.35,0,77.53,0,0,1.12
10:49:40,AM,all,20.18,0,78.88,0,0,0.94
10:49:41,AM,all,23.85,0,75.09,0,0,1.06
10:49:42,AM,all,22.35,0,76.71,0,0,0.94
10:49:43,AM,all,24.31,0,74.94,0,0,0.75
10:49:44,AM,all,19.05,0,80.14,0,0,0.81
10:49:45,AM,all,25.84,0,73.28,0,0,0.88
10:49:46,AM,all,21.78,0,77.53,0,0,0.69
10:49:47,AM,all,29.36,0,70.46,0,0,0.19
10:49:48,AM,all,11.35,0,88.21,0,0,0.44
10:49:49,AM,all,25.81,0,74.12,0,0,0.06
10:49:50,AM,all,17.26,0,82.11,0,0,0.63
10:49:51,AM,all,26.43,0,72.26,0,0,1.31
10:49:52,AM,all,21.86,0,77.13,0,0,1.01
10:49:53,AM,all,23.5,0,75.94,0,0,0.56
10:49:54,AM,all,27.41,0,71.78,0,0,0.81
10:49:55,AM,all,27.61,0,72.08,0,0,0.31
10:49:56,AM,all,25.16,0,73.84,0,0,1
10:49:57,AM,all,22.62,0,76.94,0,0,0.44
10:49:58,AM,all,15.95,0,83.68,0,0,0.38
10:49:59,AM,all,23.72,0,75.97,0,0,0.31
10:50:00,AM,all,28.09,0,71.6,0,0,0.31
10:50:01,AM,all,28.06,0,71.81,0,0,0.12
10:50:02,AM,all,26.85,0,72.97,0,0,0.19
10:50:03,AM,all,24.88,0,74.38,0,0,0.75
10:50:04,AM,all,15.88,0,83.5,0,0,0.62
10:50:05,AM,all,27.32,0,72.62,0,0,0.06
10:50:06,AM,all,27.31,0,72.44,0,0,0.25
10:50:07,AM,all,28.8,0,70.51,0,0,0.69
10:50:08,AM,all,36.44,0,62.87,0,0,0.69
10:50:09,AM,all,34.08,0,65.17,0.06,0,0.69
10:50:10,AM,all,34.58,0,65.04,0,0,0.38
10:50:11,AM,all,27.26,0,71.55,0,0,1.19
10:50:12,AM,all,24.08,0,75.11,0,0,0.82
10:50:13,AM,all,24.87,0,74.75,0,0,0.38
10:50:14,AM,all,20.85,0,78.21,0,0,0.94
10:50:15,AM,all,24.84,0,73.66,0,0,1.5
10:50:16,AM,all,24.86,0,74.39,0,0,0.75
10:50:17,AM,all,26.47,0,72.6,0,0,0.94
10:50:18,AM,all,24.55,0,74.77,0,0,0.69
10:50:19,AM,all,24.5,0,75.25,0,0,0.25
10:50:20,AM,all,24.44,0,74.62,0,0,0.94
10:50:21,AM,all,22.68,0,76.57,0,0,0.75
10:50:22,AM,all,22.36,0,76.76,0,0,0.87
10:50:23,AM,all,28.97,0,70.71,0,0,0.31
10:50:24,AM,all,35.25,0,64.37,0,0,0.37
10:50:25,AM,all,26.7,0,72.61,0,0,0.69
10:50:26,AM,all,12.59,0,87.04,0,0,0.38
10:50:27,AM,all,23.21,0,76.29,0,0,0.5
10:50:28,AM,all,22.75,0,76.25,0,0,1
10:50:29,AM,all,31.27,0,68.67,0,0,0.06
10:50:30,AM,all,35,0,64.69,0,0,0.31
10:50:31,AM,all,32.08,0,67.54,0.06,0,0.31
10:50:32,AM,all,31.94,0,67.75,0,0,0.31
10:50:33,AM,all,32.38,0,66.81,0,0,0.81
10:50:34,AM,all,34.36,0,65.02,0,0,0.63
10:50:35,AM,all,31.53,0,68.16,0,0,0.31
10:50:36,AM,all,29.37,0,69.75,0,0,0.88
10:50:37,AM,all,23.47,0,75.84,0,0,0.69
10:50:38,AM,all,19.24,0,79.89,0,0,0.88
10:50:39,AM,all,21.72,0,76.85,0,0,1.43
10:50:40,AM,all,26.76,0,72.74,0,0,0.5
10:50:41,AM,all,22.94,0,75.56,0,0,1.5
10:50:42,AM,all,22.16,0,77.65,0,0,0.19
10:50:43,AM,all,21.88,0,77.68,0,0,0.44
10:50:44,AM,all,21.06,0,77.19,0,0,1.75
10:50:45,AM,all,27.68,0,72.01,0,0,0.31
10:50:46,AM,all,33.46,0,66.23,0,0,0.31
10:50:47,AM,all,23.02,0,75.8,0,0,1.19
10:50:48,AM,all,22.45,0,76.74,0,0,0.82
10:50:49,AM,all,23.28,0,75.34,0,0,1.38
10:50:50,AM,all,23.16,0,76.22,0,0,0.62
10:50:51,AM,all,23.03,0,75.72,0,0,1.25
10:50:52,AM,all,26.33,0,72.86,0,0,0.81
10:50:53,AM,all,27.97,0,70.9,0,0,1.13
10:50:54,AM,all,30.03,0,69.72,0,0,0.25
10:50:55,AM,all,29.1,0,69.84,0,0,1.06
10:50:56,AM,all,23.53,0,75.53,0,0,0.94
10:50:57,AM,all,24.22,0,75.41,0,0,0.37
10:50:58,AM,all,20.55,0,78.51,0,0,0.94
10:50:59,AM,all,23.31,0,76.44,0,0,0.25
10:51:00,AM,all,25.44,0,74.19,0,0,0.38
10:51:01,AM,all,34.19,0,65.5,0,0,0.31
10:51:02,AM,all,32.85,0,66.96,0,0,0.19
10:51:03,AM,all,18.69,0,80.25,0,0,1.06
10:51:04,AM,all,31.15,0,68.66,0,0,0.19
10:51:05,AM,all,31.13,0,68.69,0,0,0.19
10:51:06,AM,all,30.58,0,68.86,0,0,0.56
10:51:07,AM,all,22.84,0,76.6,0,0,0.56
10:51:08,AM,all,28.55,0,71.45,0,0,0
10:51:09,AM,all,19.61,0,79.7,0,0,0.69
10:51:10,AM,all,16.67,0,82.77,0,0,0.57
10:51:11,AM,all,26.14,0,73.23,0,0,0.63
10:51:12,AM,all,22.97,0,75.72,0,0,1.31
10:51:13,AM,all,27.23,0,72.33,0,0,0.44
10:51:14,AM,all,32.96,0,66.73,0,0,0.31
